text_id,u_n,u_who,text,label
SR87,108,S0417,you're supposed to be keeping the same day for showers,
S7UX,276,S0013,oh sorry,
S84P,557,S0013,oh ,
SD3R,2125,S0350,oh yeah I see,
SAUR,903,S0192,president's office so you take the token and put it up in the president's office here okay?,
SFNQ,655,S0237,and then,
SRNC,15,S0587,they just said that you have to do it as we er this that list that they send us so I'm guessing we just ,
S7JS,114,S0519,there you are there's north now so it's south,
SYHP,738,S0262,yeah,
SN8K,532,S0318,and I looked it up ,
SYHP,2002,S0262,yeah,
S632,5018,S0202,no one knows ,
S632,4369,S0202,no I tell you what it's half and half,
SA2J,1825,S0525,yeah I thought so,
SZ98,34,S0441,he's like ,
SR5J,589,S0495,pick two up,1
ST82,458,S0525,but we don't we only want erm you know one or two decent meals cos then it's money again isn't it you're spending,
S28F,742,S0255,or,
SAT9,33,S0179,there are a lot of XC90s in here,
SUVQ,5592,S0192,we're worried about that like we'll have to get a new job beginning of September but I don't think we're gonna know our grades then or we'll have,
SEKZ,1530,S0353,and then I'll get the train to ,
S6W8,4732,S0494,erm,
SWY3,885,S0545,so,
SN8K,444,S0255,yeah,
S5XD,1964,S0192,but I asked my dad,
SJB4,5091,S0192,and it's like well you know what I mean? and living abroad it's even harder because that is a very strict system,
S968,293,S0492,it's ,
SYEF,653,S0615,it's your lipstick,
SB4D,2100,S0199,it's not good for the kids really,
SR5J,81,S0494,going north ,
S632,158,S0202,oh yeah right,
SUVQ,6770,S0235,dressed as a smurf gone out drinking went home and and obviously you have to go,
S28F,1399,S0255,all the way through everything like my whole life and this was part of the with the counselling ,
S35K,1320,S0372,erm,
SB4D,1278,S0199,oh,
SUUE,864,S0371,that's right,
S5XD,2168,S0192,so if they teach it as just the sounds with no other vowel attached,
SFNQ,834,S0192,no,
SQ3P,765,S0520,you might as well just put one,
ST47,757,S0125,well let me get  let me get through it based on what you've done here and then I'll see what I'm down to and then see how we go from there,1
SMZV,1026,S0350,and all,
SA7J,1108,UNKFEMALE,A,
SM99,62,S0336,yeah it was so creepy and I didn't even feel like er I could say it was creepy cos I knew exactly what it was,
SNMZ,1425,S0563,weren't he?,
S38V,2613,S0192,mm,
SNG4,1753,S0257,yep,
SUVQ,9866,S0192,that's not very funny ,
SUVQ,8144,S0192,no don't be silly you're earning us money so,
SR5J,628,UNKFEMALE,catch a train,
SN8K,783,S0318,I wonder what happened to that I wonder if there's a website like this in for America,
SN98,1195,S0230,yeah,
S432,10,S0391,well we could have gone to ,
SA7J,1960,S0640,cos I think it's to to judge people by their gender is wrong but I do part of me thinks that,
SE3Y,669,S0227,so is there so is there a series five to come?,
SMW8,50,S0255,yeah,
S9WB,64,S0110,I remember ,
SPZ4,324,S0397,I don't think so,
SDFL,2238,S0012,but though just imagine you could actually fry her on stage,
SMW8,2843,S0316,erm and then the last week I'm going to Madrid as well the week before with work,
SUVQ,15361,S0192,in my scenario it's you have put it somewhere oh it's under this bin under here,
S7DR,84,S0185,it's it's just so not funny anymore,
SV28,636,S0198,there you go sprinkles in chocolate,
SFNQ,1198,S0237,I might go into ,
SFJ2,464,S0276,that was just like that was just shit,
SFNQ,129,S0192,erm I think I spoke about it briefly with ,
SAUR,1217,S0192,cos it's a dummy run,
SUVQ,5194,S0192,mm ,
SGYW,58,S0180,yes ,
S35K,1067,S0262,buying that I mean even seeing James Bond movies the latest ones,
S5B6,277,S0198,yeah,
SD3R,198,S0344,because I've been on holiday so er who would er how do I know what's so I was like like oh did you all have a nice time ,
S7ZG,470,S0261,yeah that's fine,
SLSS,2657,S0586,shins?,
S682,711,S0192,oh,
SYHP,2675,S0262,okay ,
SYHP,1004,S0262,you know,
SUVQ,15193,S0192,but I told them not to call me teacher,
S632,1091,S0211,no that was Britain's Got Talent,
SYEF,606,S0525,for my clock,
SD6X,1682,S0058,do you wanna have some?,
SFJ2,445,S0275,oh shame so it was Velma and Daphne,
SMZV,10,S0336,I liked it,
SUEL,410,S0180,it was funny though cos the guy who ran the place ,
SEKZ,2016,S0353,oh I,
S28F,2220,S0315,did she?,
SKRC,1003,S0440,I haven't ,
SE3Y,235,S0227,well hopefully it's had a ,
SMW8,2197,S0316,yeah cool,
SNRQ,137,S0170,mm hm,
SMW8,1869,S0255,but I ,
S28F,550,S0255,because I'm feeling better,
SLSS,356,S0584,yeah,
SUVQ,14593,S0235,no no no so when I say working doing my dissertation in the library,
S5U8,1102,S0475,erm ,
S985,147,S0337,just keep saying ,
SKRC,1532,S0439,in the rugby in the UK isn't good enough the team isn't good enough Lancaster stepped down though didn't he?,
SWY3,2576,S0391,the singer from ,
S632,673,S0222,sorry?,
S8CB,443,S0592,it's confusing hearing all these ,
S6W8,3371,S0497,these ones are black look black black,
S5QR,489,S0325,yeah but I don't understand like how people are so tall?,
SFCW,472,S0264,yeah and the rest of the time I'm going to ,
SEKZ,1837,S0262,yeah,
SUVQ,608,S0198,yeah yeah,
SAZX,396,S0601,damn you,
SA7J,265,S0563,er er erm,
SDFL,791,S0013,oh,
SAUR,673,S0192,yeah its betting power is only one,
SR5J,1416,S0492,I think she kept a load at the beginning,
SMZV,314,S0350,so expensive it's just ridiculous isn't it?,
SA7J,2549,S0543,oh cos for some reason I thought you'd ,
S6W8,3234,S0493,I can't see any theme any thread between your,
S6W8,4794,S0494,kids can hear you,
SUVQ,5303,S0198,mm,
S7RA,1047,S0012,that was one that ,
SUVQ,8784,S0236,yeah ,
SB32,1242,S0525,well there should be plenty of chilli tonight so we can freeze some for you,
S6BS,2648,S0592,yeah,
SR5H,253,S0593,see if there's any actually give me one of those OJs over please? and a ,1
SAUR,505,S0192,thank you ,
SFCW,243,S0263,oh yeah I tell you what after spending three weeks with my in laws I when I go back to ,
SAUR,5190,S0190,you're a ,
S6BS,645,S0602,birds okay,
SAUR,1754,S0190,yeah the choice,
S985,63,S0336,and actually it proves that you shouldn't be put off,
S8CW,454,S0306,mm,
SNMZ,682,S0561,no ,
S7JS,403,S0519,I could dip it into your tomatoey stuff,
SA2J,1968,S0525,no,
ST47,452,S0018,and pressure,
SFNQ,530,S0192,did you do that?,
S6W8,1641,S0497,yeah I liked it but not the way it was spelt,
S6KV,63,S0417,mm,
SJN6,342,S0425,there's,
SJB4,1137,S0197,a two and a two,
SYHP,1030,S0262,right okay,
SA7J,2069,S0640,it is an ,
S3CP,39,S0391,oh ,
SM99,1391,S0346,only reason I'm here,
SLRD,203,S0648,if I haven't done enough I'll give it to you another time,
SJLF,127,UNKMALE,oh yeah cos I'm ,
SR5J,276,S0492,yep,
SQ2W,566,S0439,I think I actually unfriended her,
SJRQ,1486,S0390,oh sometimes it doesn't work at all,
SB32,1029,S0525,on the Monday to stay somewhere?,
S4WJ,280,S0439,hang on is that some stupid person like saying this octopuses? ,1
SB32,225,S0525,and it depends what day it is and she said I'm not saying I'm a carer if he thinks I'm being paid to care for him he'll insist on me doing even more,
SN8K,2035,S0317,erm but yeah it was incredible,
SUVQ,9078,S0236,yeah,
SDFL,1745,S0012,yeah,
S38V,635,S0192,typical you going to Dorset just after we move in,
S4WJ,900,S0439,just over a grand a month for a year,
SUVQ,11854,S0198,if you can ,
SJB4,4609,S0192,what happen repeatedly?,
S2QU,349,S0520,and he had like a spiderman,
SLSS,968,S0583,I ,
SEKZ,2035,S0262,I believe in them,
SA2J,2155,S0525,only four?,
SB4D,78,S0199,what have you tried ,
S28F,2481,S0315,we did it with her and then I went on to do my erm level my masters but ,
SAUR,463,S0192,I've given up ,
SJB4,3309,S0197,no you can only throw one,
S3LE,1706,S0343,sold,
SA7J,702,S0543,garlic,
SJB4,4875,S0192,I just feel like when you have a child you end up spending most of your time around children and I really enjoy,
SP9F,1640,S0335,and all that stuff so,
SR5J,617,S0493,ah I'll have to rent it out at the top then,
SG56,1020,S0261,she's got quite a ,
S28F,1661,S0255,yeah I know,
S38V,2293,S0192,must be,
SUVQ,2896,S0192,not the ending so much,
SDFL,1367,S0152,do you want to get the cream out the fridge for me and,1
SMW8,3454,S0255,you just want a relationship,
S7DR,530,S0104,to buy that lamp for the garage we want,
SB4D,1102,S0199,yeah,
SLSS,1431,S0585,yes yeah yeah,
SNRQ,531,S0170,mm hm,
S8CB,31,S0592,and basically there's this role called the mayor which might be obvious cos it's a town but erm ,
SR5J,659,S0492,that's a train too,
SUVQ,2493,S0198,I think it's a revelation for me,
SMW8,1360,S0255,you know anything else I'm not even gonna worry too much about doing apart from getting up and going to the loo,
SD6X,75,UNKMALE,just to annoy you we don't have the number six ,
S6BS,1336,S0594,thank you,
S682,124,S0189,yeah ,
SUVQ,6011,S0236,yeah ,
SNMZ,1065,S0564,yeah ,
S457,1203,S0617,it's never on my day,
S38V,934,S0198,yeah I was gonna ask,
S85D,951,S0337,oh why are you round here?,
SUVQ,4384,S0192,I didn't like no that was in at the night time and,
S3LE,2274,S0343,cos your visa's ninety days so you've gotta leave,
SYHP,1711,S0262,it's true,
S3LE,1811,S0343,thing is you were left,
SUVQ,7927,S0192,fucked his arm,
S4QK,146,S0246,my stomach,
SR5J,1084,S0497,yeah ,
SRNC,1380,S0587,what's that?,
SC8H,836,S0391,I'm going ,
SQ2W,287,S0439,I know ,
SA7J,2585,S0561,well you forge one and I'll forge tother,
SJB4,1712,S0192,five bugger,
SV28,65,S0192,which contract? where's that?,
S6W8,4975,S0493,couldn't tell you ,
S985,1654,S0336,between the couples and we'll work it out later,
SAZX,1444,S0594,mm,
SNMZ,772,S0561,you can rest assure that none of them are gonna go without,
STKH,159,S0110,not properly,
S7RA,525,S0012,that's ,
ST47,204,S0018,yeah yeah,
SJB4,4642,S0199,no I know you don't,
SXJP,146,S0439,yeah ,
S6BS,3056,S0602,there you go ,
SUVQ,12396,S0192,just to give you an example,
SUDM,263,S0623,wait I know the thing I can't remember  ,
SMW8,1709,S0255,yeah,
SA7J,1279,S0568,er yes ,
SM99,1187,S0337,we don't have HR,
SUVQ,5699,S0235,she's at ,
SUVQ,14736,S0236,the taxes go to everyone so no you pay taxes,
SUGJ,520,S0645,so it's been designed to be oil-proof but you've obviously got erm er well I can't remember what the chemical is in urine,
SUC7,421,S0622,wow that looks bad,
STVQ,164,S0443,the reeds they use ,
SYEF,742,S0525,oh phew ,
SMW8,810,S0316,I'm ,
SM8E,110,S0654,jinx,
S7RA,897,S0278,you've gotta keep some try and keep smiling but it's not easy cos you're concentrating like billio,
SZT4,148,S0528,and he did survive the war,
SZ98,72,S0441,and he's got ,
SPJR,431,S0525,before he starts during after?,
ST82,1229,S0525,looks like you've only got tea booked for Thursday this week then,
SUVQ,1901,S0198,oh I've noticed that they,
SMZV,1936,S0336,is she American?,
SMW8,2324,S0255,and when he was ,
SWY3,2494,S0545,there you are,
S78E,223,S0229,sad people,
S632,2784,S0222,but they're gonna be coming from like all over the country and they're just not gonna get there for half seven,
S5U8,858,S0475,yeah ,
S985,1886,UNKMALE,that'll be under the bridge,
SEBP,78,S0218,I ain't convinced it's a hamster,
SUVQ,14669,S0235,mm,
SD3R,1331,S0336,yeah that'll be funny,
SUVQ,14277,S0198,fuck off chopper,1
STBF,191,S0428,oh ,
SQ3P,1038,S0519,so we're supposed to see if we can tell the difference is it worthy of the difference?,
S3MW,367,S0525,and then when it beeped ,
S85D,1899,S0336,yeah but it's so intense and so like moody and it's all like it's all about the soundtrack and I don't know how but then,
SD6X,857,S0058,we should get a fire in our kitchen,
SHHU,123,S0392,yeah you can download any tune in the world,
SBQZ,796,S0261,if you go through school and you've got ,
SJB4,3030,S0199,I did I rolled it and I ran,
SJRQ,1872,S0392,but there's a ,
SN98,821,S0198,I don't want it,
S6BS,267,S0592,I don't have points though,
S84P,699,S0024,I'm trying to a get a um knight so that we can save the city ,
S28F,1235,S0255,yeah,
S6BS,693,S0594,can I have the question?,1
SAUR,3820,S0227,you don't wanna drink or anything?,
S35K,1213,S0262,and then what you do is you basically get a whole erm bunch of ,
S28F,183,S0315,mm,
SMW8,2079,S0256,no I T,
SJB4,5018,S0199,but then you could turn round and say but you don't know what it's like to travel all these beautiful countries,
S67P,31,S0339,we haven't got any ,
SUVQ,2054,S0236,what?,
SLBG,448,S0417,yeah you ,
S63L,314,S0262,I know and that's what I'm trying to do but I've told you what my core is and I'm not gonna change it,
SDFR,333,S0417,are you okay? are you okay ,
S632,5101,S0220,yeah no I don't I I,
STKH,299,S0104,mm,
SYHP,25,S0262,fantastic idea,
SPLU,601,S0614,in the cheese section,
S632,6803,S0221,there's a difference between orange and reds though,
S28F,1783,S0255,and that basically would've paid for some like er you know certain things for somebody else and you think yeah,
S4WJ,1098,S0439,but have you ever thought like I don't feel my own tongue like the only time I feel the texture of my own tongue is when I like do that,
SH2P,245,S0192,cool,
S7ZG,156,S0261,I know it's a very generic,
SR5H,89,S0602,they'll be from the cracker,
S7DR,713,S0176,they were all boring,
SA7J,1501,S0692,Switzerland,
S457,453,S0614,their loss,
SA7J,1579,S0543,I didn't even think about that,
SDFR,259,S0416,I don't know,
S968,315,S0494,get it with that broom ,
SLJ5,257,S0679,yeah but I'm sure there was one door we only had one key for is it actually a good time to actually go round is it good when you go back to collect it to have keys cut? or or is it better to keep that transaction simple?,
SM99,84,S0337,it does suit me ,
SYHP,2469,S0262,yeah,
SBQZ,247,S0401,yeah,
SJSC,84,S0439,but my dad my social calendar's full up till December,
S5U8,998,S0475,erm ,
SNG4,2175,S0258,yeah,
SDFR,90,S0416,I don't remember seeing that before ever,
SMW8,548,S0255,and making sure you're doing that particular move right,
SAUR,1121,S0192,what is it? so there's two symbols on the card usually this little sun means jump so now we've drawn this card this goes up one okay? so we're trying to get up on this thing we've gone up one because there's that sign this sign looks like these little ships here and we don't have any on the board so because we have a basestar and we saw this sign the basestar launches one okay?,
SRNC,593,S0584,six by four inch what's this four out here?,
SJB4,3803,S0197,five again,
SRNC,642,S0584,right,
S5XD,1437,S0194,right,
S346,621,S0319,erm because if it is a bit slippy out there and damp they've got no grip on them whatsoever erm and I have on a few occasions cos ,
S5U8,752,S0475,mm,
SWVQ,75,S0416,it's the exact same thing,
S985,314,S0346,it's not really a desperately,
S3M4,346,S0525,yeah,
S5XD,894,S0196,yeah,
S6W8,4164,S0494,hello ,
SE3W,364,S0481,mm,
SLRD,286,S0649,it's ,
S968,1993,S0494,I haven't,
SNRQ,838,S0170,and to,
SKRC,1588,S0440,not with Ashton they didn't,
SWY3,2734,S0391,oh god,
SB4D,167,S0197,just get another the big one,
S6BS,1077,S0602,mm hm,
SC8H,689,S0392,I I'm trying wrack my brains what it is er there's something that I have in common with him whether it's a birthday or a something like that I can't remember what it is though,
SB32,1307,S0525,what are you normally then?,
SEKZ,2615,S0353,get people who get burnt should,
SB32,1098,S0617,yeah,
SUVQ,9982,S0235,yeah,
SDFR,152,S0416,and I just find that too hot so I'm always just like ,
SUGJ,521,S0282,urea,
SB32,841,S0617,yeah,
SUVQ,11433,S0236,cos they they're going over the boarder so when they go when the boarder bit comes in,
SV28,1145,S0192,he's definitely into it,
S5XD,272,S0196,how do we know when this is done?,
SV28,1203,S0192,they really do,
SUVQ,7264,S0235,and all night that would just be in your head ,
SNG4,2182,S0258,yeah,
SC2T,630,S0392,she came,
SDFL,570,S0144,what on a Friday?,
S3LE,2313,S0343,sports ,
SJRQ,1131,S0392,cos wild marjoram is oregano,
S3LE,351,S0336,might actually save some money as well while you're out there,
SXJP,366,S0441,of the circumstances because,
SE3W,129,S0439,shut up,
S432,483,S0392,well you were,
SPLU,500,S0614,er ,
ST47,645,S0125,I'll check,
SV28,75,S0192,so you are you meant to? you're not meant to have got this back to them I don't think,
SFCW,481,S0263,I have been timetabled,
SKRC,1784,S0439,and I don't understand why ,
SB4D,1041,S0192,yeah I'm gonna clean up I just we were just chatting,
S323,54,S0576,it's four,
S682,321,S0192,oh cool,
S7RA,1119,S0013,yeah,
SJB4,1749,S0197,your go,
S6W8,87,S0493,and then she'll choose which one of them she wants to play so you've always got a choice of two which one you're gonna play right?,
SM99,781,S0337,but why's his stuff there?,
S5XD,483,S0192,yeah,
SJRQ,1119,S0392,yeah that's the one er the the one thing we actually needed was yeah was ,
S7ZG,360,S0261,mm oh well it's worthwhile just having a chat with people there,
SLSS,1226,S0586,high quality ,
SUVQ,11702,S0235,yeah yeah yeah yeah,
SKRC,1555,S0440,yes there was,
SEKZ,1592,S0353,it thins the blood and he said they're messing about with my medicine at the moment cos a nurse comes round and checks it you know and you have to you have to have that,
SEKZ,409,S0353,you can have you can have er caramel bloody what a dog ,
SDFL,1271,S0154,yeah,
SEKZ,2916,S0262,well have you got any further with them ,
S3S6,114,S0276,I felt so proud of myself,
SEKZ,2757,S0353,so,
S9WB,153,S0109,hmm,
SWY3,2422,S0545,no let me go I'll I'll have a go I'll I'll give you an idea ,1
STKH,467,S0167,oh yeah,
SRRS,243,S0439,I know yeah,
S38V,1921,S0192,yeah,
SAZX,2028,S0602,okay ,
S6W8,3615,S0493,I mean that sounds the ,
SAUR,4872,S0192,crisis card,
S6W8,5436,S0492,oh,
S85D,2110,S0344,but she doesn't have a shit ton er ton of money,
S28F,2263,S0255,yeah cos she can do evenings obviously she does all different things as well but,
SH2P,615,S0192,erm yeah I mean we were talking about alphabets though weren't we?,
S346,171,S0319,well you can do that yourself and I mean like round here and what have you men it tends to rip quite easy cos they're forever scratching aren't they?,
SV28,487,S0192,erm alright no I think I'm going to need three eggs do we have frying pans?,1
SWY3,381,S0545,right,
S985,1044,S0337,I'll I'll send her a,
SUVQ,9100,S0235,cos they do like they have like the ,
SG56,1056,S0261,on a foundation,
SHJE,43,S0602,bloody hell that was a bit of a ,
SUUE,67,S0262,you don't wanna look like okay I'm just meeting up with you,
SYWR,989,S0393,there's a complete refurbishment,
SHJE,1039,S0594,don't don't just say it just cos I said it cos I'm guessing so,1
SEJT,123,S0262,mm,
SZ98,177,S0439,no not if they're an old person no,
SE3W,225,S0439,we did yeah we,
S6W8,2925,S0494,to,
SLJ5,472,S0681,never had lunch ,
SUVQ,892,S0236,no yeah ,
S6W8,5288,S0494,what colour's that? blue?,
SHX2,391,S0416,exactly,
SUVQ,7905,S0235,he was he was that's probably the story,
SEJT,46,S0262,yeah,
S7JS,542,S0520,er maybe just leave it and I'll finish it thank you,1
SY5K,222,S0282,mm,
S632,1529,S0221,I just though it's cute ,
SKJ3,202,S0229,went ,
SZ98,599,S0439,yeah,
S682,1002,S0189,quite cool,
S6W8,3181,S0497,you need to start building,
SB4D,188,S0189,yeah,
SP9F,1905,S0262,or any ,
SD3R,1433,S0350,oh that's a different one,
SAUR,4719,S0192,yeah,
S35K,1526,S0262,and if you somehow manage to survive ,
SUVQ,2243,S0192,sounds like a rapist,
S28F,1413,S0255,my sister? oh my sister leant on me er erm,
S8CW,501,S0262,well then he has a legitimate right to do it you're on you're on shaky ground,
SAUR,1331,S0227,I er I understand that cos you're you're moving to a different erm,
SMW8,726,S0256,mm I did that with a parsley once with cod once where I did parsley ,
SMW8,916,S0316,technically no they'll be they won't be issuing any new company cars until the reallocations have been sorted,
SRRS,170,S0441,it's really annoying ,
SAUR,3935,S0192,what? the winding sound?,
S85D,1571,S0344,yeah we got invited to an Indian but erm we,
SN8K,1934,S0318,they need they need a they need to have a flight in an aircraft ,
SQ2W,522,S0439,oh okay,
S3LE,2310,S0336,finally get him back to the gym I've managed to convince him to join in ,
SJKD,389,S0621,yeah you're getting it wrong,
ST82,793,S0617,that's okay,
SHJE,127,S0594,oh alright then ,
S632,1495,S0222,yeah?,
SNMZ,1505,S0563,he gets himself a sandwich or something if he gets hungry later on and he goes ,
S5XD,3387,S0194,well this is it because everything I did with ,
SJRX,68,S0399,oh that is too bad innit?,
ST47,397,S0125,a belief that you have in in a business context ,
S3MW,770,S0525,we're gonna have to erm ,
SJB4,339,S0197,well,
SY5K,625,S0282,right,
SUGJ,994,S0645,week or two before his last session,
SA2J,1836,S0525,but I'm thinking if she doesn't plead guilty that's when they might be calling upon ,
SA2J,1863,S0617,no she was doing it on various occasions,
SNMZ,866,S0566,well the next time she asks for a light bulb to be changed you know what the answer can be,
SUVQ,10379,S0198,oh that's so disgusting it can't be true that's,
SM8E,457,S0653,what don't you get?,
S632,2490,S0222,you've got you've got insurance for it right?,
ST47,355,S0125,but it depends how late it goes tonight I suppose,
SVZH,387,S0198,yeah yeah yeah I bet you can stop in all those bloody lights in the traffic,
SRNC,741,S0587,okay,
SNRQ,442,S0170,yeah,
SKRC,1441,S0439,we don't know it depends if it's a binding contract,
SR7C,183,S0525,well I'm calling you to find out I said well,
SJRQ,781,S0392,she's got a greenhouse so yeah,
SHHU,171,S0392,not ten,
SMZV,735,S0349,so ,
SC8H,270,S0392,by it won't be cos the I like the French song but yeah ,
SYHP,2588,S0262,yeah,
SEBP,95,S0202,mm ,
S7UX,71,S0144,do we?,
S7DR,479,S0176,thing you know but it's very just a,
SKZX,430,S0391,what was she saying?,
SG56,621,S0261,bugger the word would be,
S6BS,591,S0592,three of them wrong,
SWY3,2373,S0392,as I said we're all through,
S985,881,S0337,Cash for Clothes,
SN98,427,S0230,no thank you,
SYHP,1296,S0262,yeah,
S968,1437,S0495,did you?,
SC2T,158,S0393,its weird every time I send a text to you right,
SYEF,580,S0525,have you seen those photos?,
SV28,774,S0198,yeah,
SQ36,784,S0337,which which is enough ,
S6BS,521,S0602,these ones,
SDXV,63,S0202,ah yeah it's stupid,
SR7C,1220,S0525,and they go a lot,
S632,4306,S0202,imagine if that turned up on an articulated car ,
S6W8,1946,S0493,I can tell it's your second time mate even I know how you,
SR5J,341,S0492,yeah,
S632,3105,S0202,idol,
S632,3569,S0202,I knew you ,
SYHP,1891,S0360,I could have abandoned her there,
SUVQ,2871,S0236,it's just the ,
ST82,1205,S0617,or Monday if you're gonna do dinner or whatever,
S6W8,4945,S0496,oh I like a pink ,
SYHP,1197,S0262,yeah,
ST82,7,S0622,okay ,
SD3R,434,S0336,mm,
SJRQ,1746,S0393,yeah I'll be about five minutes,
SQ36,30,S0337,erm not really,
SAUR,3148,S0227,okay what's the score? we've got to get seven?,
SUVQ,1488,S0192,mine's actually ,
S632,3271,S0221,what is it?,
SNG4,1718,S0255,yeah that's the shower isn't it? ,
S6BS,926,S0592,mm,
S35K,435,S0262,yeah,
SQ2W,205,S0439,it's actually the most disgusting thing I've like,
SKKU,164,S0441,if they have the paperwork but no otherwise not they might not have that paperwork,
SLJ5,697,S0681,which? where?,
S3LE,57,S0343,I've seen this I didn't realise there was satnav,
SYHP,3024,S0360,yeah quite,
SKZX,283,S0393,yeah,
SJN6,434,S0425,yeah,
S38V,1938,S0198,ah this is really we can do it,
SN98,351,S0198,yeah you can have some,
SUVQ,13543,S0235,yeah,
SLRD,628,S0649,no,
SRRS,242,S0441,all that look,
S632,2300,S0220,fucking ,
SBEV,374,S0336,yeah,
SEKZ,1244,S0353,and she did and christ after the operation she's in this intensive care it was like the cockpit of a jumbo jet there's TV screens there's a nurse there full time she's got pipes coming out here,
SMZV,1499,S0349,I said to ,
SRRS,435,S0439,she's kind of doesn't think that he thinks further ahead than like when he when he's in a relationship with ,
S6W8,3207,S0494,I'm gutted,
SQ2W,341,S0439,but I didn't no but I left it like ,
S78E,311,S0198,yeah,
SD3R,2225,S0349,see that's the one good thing like that about ,
SN8K,271,S0255,yeah yeah and that gets the sort of the profile bit doesn't it?,
S35K,928,S0372,and then you say well you know where's the democracy in this? where is the political steering?,
SVZH,616,S0198,mm,
SG56,1280,S0401,so that's ,
S85D,888,S0344,yeah,
ST82,754,S0525,it's good it was still there when you got back ,
SNMZ,1348,S0564,it's he's not a little kid is he now?,
S682,357,S0192,mm,
S632,713,S0211,yeah,
SPLU,848,S0525,I'd always ,
SNE5,7,S0392,yeah that's it,
SAUR,3351,S0189,if you go to the right place,
S35K,850,S0372,twenty miles and they'd have to refuel,
S6W8,4776,S0496,yes you did,
SY5K,779,S0282,so say if there was a disused school,
SWY3,2518,S0545,and they're breaking up and,
SMW8,1814,S0255,yeah,
S985,2144,S0337,oh hi ,
SLSS,2455,S0583,there it says this pack contains a hundred and seven calories,
SD6X,1482,S0058,okay,
SPZ4,337,S0392,what rhymes with prayer ,
SYEF,435,S0615,I think mummy will be fine,
S8CB,478,S0594,oh rats there's no hundred dollars,
SQ36,1180,S0338,yeah,
SNMZ,980,S0565,and then ,
S6BS,1520,S0594,and one of you has just made a slightly lesser error,
S3S6,354,S0276,who's the love of my life?,
S7ZG,355,S0262,why can't you?,
SLSS,1024,S0585,oh,
SD6X,983,S0179,the er er the wine that you,
SRNC,253,S0587,we'll do it in order from Ulan-Ude,
SJB4,4985,S0192,you know ,
S6KV,497,S0418,Pikachu,
SC2T,774,S0391,oh no that's what no the kids are calling him at school,
S3M4,11,S0517,hang on,1
SYHP,757,S0262,that's right,
S632,5977,S0208,I've got some here as well but like I never get them ,
S38V,965,S0192,yeah she ended up being a funny one didn't she?,
SUGJ,975,S0282,excellent excellent,
SJB4,4494,S0199,mm,
